,team1,team1score,team1seed,team2,team2score,team2seed,result,year,round,wteam,lteam,wscore,lscore
258,George Washington,88,8,UNC Wilmington,85,9,0,2006,1,George Washington,UNC Wilmington,88,85
259,Montana,87,12,Nevada,79,5,0,2006,1,Montana,Nevada,87,79
260,Boston College,88,4,Pacific,76,13,0,2006,1,Boston College,Pacific,88,76
261,Milwaukee,82,11,Oklahoma,74,6,0,2006,1,Milwaukee,Oklahoma,82,74
262,N.C. State,58,10,California,52,7,0,2006,1,North Carolina St.,California,58,52
263,Arizona,94,8,Wisconsin,75,9,0,2006,1,Arizona,Wisconsin,94,75
264,Washington,75,5,Utah St.,61,12,0,2006,1,Washington,Utah St.,75,61
265,Kentucky,72,8,UAB,59,9,0,2006,1,Kentucky,UAB,72,59
266,Connecticut,72,1,Albany,59,16,0,2006,1,Connecticut,Albany,72,59
267,Tennessee,63,2,Winthrop,61,15,0,2006,1,Tennessee,Winthrop,63,61
268,Georgetown,54,7,Northern Iowa,49,10,0,2006,1,Georgetown,Northern Iowa,54,49
269,Texas,60,2,Penn,52,15,0,2006,1,Texas,Penn,60,52
270,Texas A&M,66,12,Syracuse,58,5,0,2006,1,Texas A&M,Syracuse,66,58
271,Illinois,78,4,Air Force,69,13,0,2006,1,Illinois,Air Force,78,69
272,Bucknell,59,9,Arkansas,55,8,0,2006,1,Bucknell,Arkansas,59,55
273,Villanova,58,1,Monmouth,45,16,0,2006,1,Villanova,Monmouth,58,45
274,Pittsburgh,79,5,Kent St.,64,12,0,2006,1,Pittsburgh,Kent St.,79,64
275,Bradley,77,13,Kansas,73,4,0,2006,1,Bradley,Kansas,77,73
276,Duke,70,1,Southern,54,16,0,2006,1,Duke,Southern,70,54
277,Gonzaga,79,3,Xavier,75,14,0,2006,1,Gonzaga,Xavier,79,75
278,Ohio St.,70,2,Davidson,62,15,0,2006,1,Ohio St.,Davidson,70,62
279,Indiana,87,6,San Diego St.,83,11,0,2006,1,Indiana,San Diego St.,87,83
280,Florida,76,3,South Alabama,50,14,0,2006,1,Florida,South Alabama,76,50
281,Northwestern St.,64,14,Iowa,63,3,0,2006,1,Northwestern St.,Iowa,64,63
282,Alabama,90,10,Marquette,85,7,0,2006,1,Alabama,Marquette,90,85
283,George Mason,75,11,Michigan St.,65,6,0,2006,1,George Mason,Michigan St.,75,65
284,North Carolina,69,3,Murray St.,65,14,0,2006,1,North Carolina,Murray St.,69,65
285,Memphis,94,1,Oral Roberts,78,16,0,2006,1,Memphis,Oral Roberts,94,78
286,Wichita St.,86,7,Seton Hall,66,10,0,2006,1,Wichita St.,Seton Hall,86,66
287,West Virginia,64,6,Southern Illinois,46,11,0,2006,1,West Virginia,Southern Illinois,64,46
288,UCLA,78,2,Belmont,44,15,0,2006,1,UCLA,Belmont,78,44
289,Florida,82,3,Milwaukee,60,11,0,2006,2,Florida,Milwaukee,82,60
290,Boston College,69,4,Montana,56,12,0,2006,2,Boston College,Montana,69,56
291,LSU,58,4,Texas A&M,57,12,0,2006,2,LSU,Texas A&M,58,57
292,Texas,75,2,N.C. State,54,10,0,2006,2,Texas,North Carolina St.,75,54
293,Washington,67,5,Illinois,64,4,0,2006,2,Washington,Illinois,67,64
294,Georgetown,70,7,Ohio St.,52,2,0,2006,2,Georgetown,Ohio St.,70,52
295,UCLA,62,2,Alabama,59,10,0,2006,2,UCLA,Alabama,62,59
296,Villanova,82,1,Arizona,78,8,0,2006,2,Villanova,Arizona,82,78
297,George Mason,65,11,North Carolina,60,3,0,2006,2,George Mason,North Carolina,65,60
298,Bradley,72,13,Pittsburgh,66,5,0,2006,2,Bradley,Pittsburgh,72,66
299,Duke,70,1,George Washington,64,8,0,2006,2,Duke,George Washington,70,64
300,Gonzaga,90,3,Indiana,80,6,0,2006,2,Gonzaga,Indiana,90,80
301,Memphis,72,1,Bucknell,56,9,0,2006,2,Memphis,Bucknell,72,56
302,Connecticut,87,1,Kentucky,83,8,0,2006,2,Connecticut,Kentucky,87,83
303,Wichita St.,80,7,Tennessee,73,2,0,2006,2,Wichita St.,Tennessee,80,73
304,West Virginia,67,6,Northwestern St.,54,14,0,2006,2,West Virginia,Northwestern St.,67,54
305,Villanova,60,1,Boston College,59,4,0,2006,3,Villanova,Boston College,60,59
306,George Mason,63,11,Wichita St.,55,7,0,2006,3,George Mason,Wichita St.,63,55
307,LSU,62,4,Duke,54,1,0,2006,3,LSU,Duke,62,54
308,UCLA,73,2,Gonzaga,71,3,0,2006,3,UCLA,Gonzaga,73,71
309,Florida,57,3,Georgetown,53,7,0,2006,3,Florida,Georgetown,57,53
310,Memphis,80,1,Bradley,64,13,0,2006,3,Memphis,Bradley,80,64
311,Connecticut,98,1,Washington,92,5,0,2006,3,Connecticut,Washington,98,92
312,Texas,74,2,West Virginia,71,6,0,2006,3,Texas,West Virginia,74,71
313,LSU,70,4,Texas,60,2,0,2006,4,LSU,Texas,70,60
314,Florida,75,3,Villanova,62,1,0,2006,4,Florida,Villanova,75,62
315,UCLA,50,2,Memphis,45,1,0,2006,4,UCLA,Memphis,50,45
316,George Mason,86,11,Connecticut,84,1,0,2006,4,George Mason,Connecticut,86,84
317,UCLA,59,2,LSU,45,4,0,2006,5,UCLA,LSU,59,45
318,Florida,73,3,George Mason,58,11,0,2006,5,Florida,George Mason,73,58
319,Florida,73,3,UCLA,57,2,0,2006,6,Florida,UCLA,73,57
320,Niagara,77,16,Florida A&M,69,16,0,2007,0,Niagara,Florida A&M,77,69
321,Virginia,84,4,Albany,57,13,0,2007,1,Virginia,Albany,84,57
322,Southern Illinois,61,4,Holy Cross,51,13,0,2007,1,Southern Illinois,Holy Cross,61,51
323,Butler,57,5,Old Dominion,46,12,0,2007,1,Butler,Old Dominion,57,46
324,Nevada,77,7,Creighton,71,10,0,2007,1,Nevada,Creighton,77,71
325,Texas A&M,68,3,Penn,52,14,0,2007,1,Texas A&M,Penn,68,52
326,Oregon,58,3,Miami OH,56,14,0,2007,1,Oregon,Miami (Ohio),58,56
327,Indiana,70,7,Gonzaga,57,10,0,2007,1,Indiana,Gonzaga,70,57
328,Boston College,84,7,Texas Tech,75,10,0,2007,1,Boston College,Texas Tech,84,75
329,Virginia Tech,54,5,Illinois,52,12,0,2007,1,Virginia Tech,Illinois,54,52
330,USC,77,5,Arkansas,60,12,0,2007,1,USC,Arkansas,77,60
331,Purdue,72,9,Arizona,63,8,0,2007,1,Purdue,Arizona,72,63
332,Kentucky,67,8,Villanova,58,9,0,2007,1,Kentucky,Villanova,67,58
333,Maryland,82,4,Davidson,70,13,0,2007,1,Maryland,Davidson,82,70
334,Tennessee,121,5,Long Beach St.,86,12,0,2007,1,Tennessee,Long Beach St.,121,86
335,Georgetown,80,2,Belmont,55,15,0,2007,1,Georgetown,Belmont,80,55
336,Texas,79,4,New Mexico St.,67,13,0,2007,1,Texas,New Mexico St.,79,67
337,Louisville,78,6,Stanford,58,11,0,2007,1,Louisville,Stanford,78,58
338,UNLV,67,7,Georgia Tech,63,10,0,2007,1,UNLV,Georgia Tech,67,63
339,Pittsburgh,79,3,Wright St.,58,14,0,2007,1,Pittsburgh,Wright St.,79,58
340,Kansas,107,1,Niagara,67,16,0,2007,1,Kansas,Niagara,107,67
341,Xavier,79,9,BYU,77,8,0,2007,1,Xavier,BYU,79,77
342,VCU,79,11,Duke,77,6,0,2007,1,VCU,Duke,79,77
343,Ohio St.,78,1,Central Connecticut,57,16,0,2007,1,Ohio St.,Central Connecticut St.,78,57
344,Washington St.,70,3,Oral Roberts,54,14,0,2007,1,Washington St.,Oral Roberts,70,54
345,Florida,112,1,Jackson St.,69,16,0,2007,1,Florida,Jackson St.,112,69
346,Michigan St.,61,9,Marquette,49,8,0,2007,1,Michigan St.,Marquette,61,49
347,North Carolina,86,1,Eastern Kentucky,65,16,0,2007,1,North Carolina,Eastern Kentucky,86,65
348,Memphis,73,2,North Texas,58,15,0,2007,1,Memphis,North Texas,73,58
349,Winthrop,74,11,Notre Dame,64,6,0,2007,1,Winthrop,Notre Dame,74,64
350,Wisconsin,76,2,Texas A&M Corpus Chris,63,15,0,2007,1,Wisconsin,Texas A&M-Corpus Christi,76,63
351,Vanderbilt,77,6,George Washington,44,11,0,2007,1,Vanderbilt,George Washington,77,44
352,UCLA,70,2,Weber St.,42,15,0,2007,1,UCLA,Weber St.,70,42
353,Butler,62,5,Maryland,59,4,0,2007,2,Butler,Maryland,62,59
354,Memphis,78,2,Nevada,62,7,0,2007,2,Memphis,Nevada,78,62
355,UCLA,54,2,Indiana,49,7,0,2007,2,UCLA,Indiana,54,49
356,Georgetown,62,2,Boston College,55,7,0,2007,2,Georgetown,Boston College,62,55
357,Southern Illinois,63,4,Virginia Tech,48,5,0,2007,2,Southern Illinois,Virginia Tech,63,48
358,USC,87,5,Texas,68,4,0,2007,2,USC,Texas,87,68
359,Tennessee,77,5,Virginia,74,4,0,2007,2,Tennessee,Virginia,77,74
